x1 x2 Output
0.559285 0.763708 0.433989
0.955662 -0.399324 0.384687
0.716486 0.054503 0.437391
0.368706 -0.026976 0.769142
-0.122570 -0.336874 0.896060
0.494131 -0.596248 0.672681
-0.443188 -0.961542 0.486516
0.973942 -0.943230 0.639937
0.200761 -0.760266 0.809143
-0.031359 0.173325 0.971983
-0.026149 0.159756 0.953779
-0.627098 0.344236 0.612922
-0.025668 0.506416 0.920075
0.098290 -0.059747 0.951067
0.142057 -0.809158 0.837687
0.306681 0.121973 0.733687
0.382192 -0.414857 0.739930
-0.377888 0.919171 0.733140
0.806122 0.926556 0.177767
-0.385349 -0.415526 0.637600
-0.559046 -0.235686 0.528121
0.068349 0.053842 1.007861
0.632514 0.024669 0.525779
-0.841346 0.702014 0.541745
0.597161 0.817360 0.367426
0.287965 0.542275 0.666122
0.970659 -0.803114 0.572784
0.533083 -0.332296 0.641365
-0.539800 -0.656573 0.444732
-0.516077 -0.930435 0.430273
0.727399 -0.968300 0.704176
-0.606793 0.211331 0.580468
-0.416387 0.068985 0.693538
0.968674 -0.266227 0.357684
0.853480 0.043684 0.335208
0.765751 -0.517630 0.569768
0.606571 -0.127692 0.555345
0.341475 0.103988 0.725387
0.621709 0.979332 0.327183
0.592465 -0.660624 0.657335
-0.525269 0.264995 0.646063
0.932608 -0.892539 0.602844
0.485194 -0.801928 0.731959
-0.782810 0.008705 0.379409
0.768404 -0.245813 0.452696
0.265457 -0.289618 0.840330
-0.409333 0.612728 0.720241
0.521541 0.787848 0.458913
-0.337118 -0.242706 0.689200
0.021409 0.831947 0.848818
0.782696 -0.209450 0.461630
0.513045 0.918836 0.413012
-0.776279 -0.037940 0.394221
0.395161 0.376077 0.635564
-0.439633 -0.057826 0.653832
0.938661 -0.881582 0.604790
0.468940 0.436575 0.553773
0.406045 -0.966120 0.754244
0.955463 -0.886568 0.616387
-0.009337 0.506911 0.901898
0.872437 0.943770 0.117153
0.855841 0.103714 0.323773
0.972035 0.617923 0.107164
0.400972 -0.931749 0.730479
0.014924 0.378680 0.974655
0.151520 -0.093266 0.886351
0.335779 0.740006 0.632011
0.851065 0.057402 0.324273
-0.750299 0.277812 0.515607
0.274308 -0.462963 0.810179
-0.533519 -0.882733 0.434452
-0.717912 -0.791338 0.275714
-0.073576 0.649207 0.842602
-0.724702 -0.824967 0.266647
-0.737092 -0.013850 0.436546
-0.087327 -0.747838 0.843316
-0.303595 0.449051 0.817210
0.540060 0.262162 0.541483
-0.410118 0.435504 0.720120
-0.186805 0.523773 0.879364
0.563817 0.492074 0.471120
0.055278 -0.477231 0.944350
-0.386928 -0.939967 0.507819
-0.755506 0.049618 0.433845
-0.679947 -0.395938 0.409942
-0.971994 -0.944502 0.033623
-0.508534 0.086916 0.614389
-0.043473 -0.469724 0.918482
-0.092068 -0.984253 0.802039
0.410287 -0.180046 0.708662
-0.084471 0.528120 0.935576
-0.785318 -0.539678 0.270201
-0.328297 0.639603 0.752368
-0.420333 0.293762 0.710015
0.630727 -0.535507 0.621100
-0.385365 0.742278 0.756511
-0.773013 0.393069 0.487445
-0.190697 -0.165892 0.861518
0.119834 0.244303 0.878837
0.282159 -0.228271 0.794830
-0.146918 -0.884255 0.743609
0.052556 -0.126974 1.030127
-0.069571 -0.735573 0.814349
0.820164 -0.015581 0.367532
-0.365602 -0.089087 0.696820
-0.285069 0.810158 0.812943
-0.703638 0.681129 0.595228
-0.154006 -0.937911 0.751993
0.146763 -0.127740 0.916814
0.628640 0.857640 0.335882
-0.048215 -0.129623 1.020961
-0.942494 0.027615 0.258849
-0.331716 0.345201 0.775354
0.984367 -0.103615 0.267340
-0.035465 -0.186450 1.005284
-0.835643 -0.109980 0.311620
0.708708 0.892915 0.272113
-0.552927 -0.125832 0.568737
-0.105498 -0.399842 0.849524
0.702130 -0.083555 0.485855
-0.409888 0.111048 0.683133
-0.181116 -0.883720 0.714566
0.356360 0.210181 0.716594
-0.044746 -0.557423 0.870372
0.605894 0.797516 0.389302
-0.548061 0.446795 0.658023
-0.146942 -0.355094 0.859432
0.971110 0.532818 0.126360
-0.893553 -0.697385 0.153085
0.747605 -0.628888 0.601294
-0.564453 0.888420 0.694592
-0.260684 -0.344961 0.777690
0.520339 0.359239 0.529504
0.456453 0.364392 0.607462
-0.443739 0.412197 0.714376
-0.957497 -0.390855 0.164196
-0.800110 0.172712 0.436207
0.201065 0.463158 0.809773
0.712217 -0.320075 0.548910
0.276783 -0.655450 0.796490
-0.116103 -0.969415 0.716732
-0.769601 0.741848 0.620658
0.693038 0.919699 0.271121
-0.406742 0.799270 0.725133
0.677316 -0.501883 0.591589
0.587738 -0.538625 0.654287
-0.572598 0.398399 0.626515
-0.556128 0.021947 0.595108
-0.846941 0.693587 0.580724
0.941998 -0.925785 0.637662
0.460138 0.679056 0.536432
-0.160998 -0.989570 0.689959
0.903231 -0.877726 0.603038
0.644750 -0.916146 0.688643
0.830182 0.229362 0.304163
0.284181 -0.348545 0.773656
0.386780 -0.773048 0.738069
-0.738927 0.170421 0.481504
0.758313 0.096695 0.376449
0.220826 -0.819102 0.822908
0.610549 -0.497448 0.652715
-0.278189 -0.467670 0.694164
-0.490351 0.378570 0.674569
0.453772 0.305222 0.579800
0.078993 0.431213 0.917869
-0.804170 0.076981 0.402508
0.098098 -0.806467 0.864963
0.314241 -0.393530 0.751422
-0.506252 0.162852 0.629924
0.342960 -0.185820 0.758006
0.719820 -0.986694 0.659576
0.191799 0.424263 0.798295
0.543754 0.924359 0.406281
0.791587 0.701696 0.247265
-0.658882 -0.283872 0.448748
-0.350547 0.336091 0.728281
0.008391 0.071221 1.067092
0.598331 0.368451 0.456208
0.478528 0.482393 0.542465
0.610193 0.640979 0.420363
-0.068921 0.530793 0.874158
-0.268334 -0.725087 0.695189
0.614059 -0.621548 0.629338
-0.708786 -0.092904 0.440867
-0.243778 -0.507859 0.712969
-0.897284 0.232842 0.383677
0.224636 -0.209057 0.816471
-0.610808 -0.524840 0.439132
-0.471859 0.904910 0.727903
0.259560 0.457500 0.706054
-0.019850 -0.365990 0.989017
0.864301 -0.127057 0.382297
0.869942 0.356730 0.246455
0.536925 -0.463398 0.629221
-0.458926 -0.389769 0.603989
-0.990860 0.021433 0.232573
0.273551 0.827646 0.670041
0.392777 0.367823 0.642308
-0.795576 -0.883409 0.203897
0.149644 0.295305 0.851948
-0.505108 0.960080 0.715861
-0.907086 -0.245585 0.242891
-0.628888 -0.500971 0.414225
-0.969924 -0.620387 0.105858
0.059108 -0.583569 0.914721
-0.107093 -0.121397 0.899785
0.745515 -0.312553 0.483288
0.965117 -0.199795 0.309192
-0.437744 0.774067 0.703825
0.635553 0.845721 0.341841
0.480172 0.225331 0.591691
0.274377 0.660301 0.649953
0.001891 0.463284 0.980783
0.906291 0.469359 0.190271
0.065152 -0.740633 0.833603
-0.049843 0.209295 1.013973
0.552137 -0.482343 0.660138
-0.727450 0.166761 0.494926
0.341807 -0.192084 0.774324
0.430207 0.508721 0.572111
-0.027175 0.765277 0.910521
-0.146558 0.023353 0.951177
0.254802 0.141145 0.769452
-0.188120 -0.989887 0.711829
0.040659 -0.282034 0.972410
-0.797506 -0.606650 0.263360
-0.286113 -0.838589 0.606816
0.068390 -0.795178 0.881265
-0.882900 0.503876 0.494319
-0.886018 0.094650 0.342561
0.120725 0.394621 0.889955
-0.679913 0.473351 0.603812
0.955587 0.213461 0.198840
0.856578 0.669800 0.183102
-0.921743 -0.278959 0.225995
0.246941 -0.716449 0.800550
0.167310 0.923556 0.725475
-0.788504 -0.168097 0.353301
-0.700366 0.082280 0.457916
0.778098 -0.671917 0.596903
-0.340031 -0.192053 0.753752
0.460785 0.617266 0.508845
-0.795724 -0.999620 0.165947
-0.886837 -0.291657 0.236671
0.850540 -0.583151 0.507215
0.362279 0.541951 0.622482
0.281580 -0.963365 0.745539
0.960044 0.531011 0.136970
0.704016 0.315243 0.375891
-0.145771 0.114139 0.948599
-0.459164 0.629404 0.715037
-0.296463 0.050664 0.787240
-0.487619 0.771415 0.706712
0.756517 0.325338 0.359648
-0.695121 -0.474074 0.380354
-0.761438 0.113608 0.446738
0.839608 0.227572 0.309557
0.486845 -0.000277 0.620123
-0.934587 0.697146 0.512285
-0.810945 0.560685 0.530304
-0.796423 -0.467382 0.282118
-0.154587 -0.538377 0.785204
-0.344300 -0.538989 0.665726
-0.614927 -0.554614 0.412070
-0.150739 0.719548 0.835243
-0.997508 0.110154 0.257720
0.547925 0.852890 0.416891
0.835739 -0.680339 0.569532
0.857349 -0.479804 0.479515
0.361848 -0.340502 0.724439
-0.132154 -0.129637 0.943119
0.660036 -0.188889 0.521194
-0.703323 0.991281 0.667259
-0.920659 -0.589212 0.151859
0.969122 -0.218487 0.313681
-0.592711 -0.844896 0.375031
0.622733 0.840258 0.363294
0.789626 -0.701455 0.596620
0.466865 -0.343128 0.700348
-0.570421 0.017605 0.546952
-0.039083 -0.655262 0.848389
0.773129 -0.091389 0.443977
-0.559006 -0.314421 0.490369
0.339051 -0.148203 0.759374
