nahr walddist stoerdist Output
0.182262 972.485654 3194.574923 0.002201
0.753004 404.093418 400.689155 0.201149
0.847139 23.260130 2334.496418 0.645728
0.783895 686.898740 3556.353991 0.601141
0.687911 68.144254 4682.511803 0.998770
0.441474 864.144687 1073.933913 0.098869
0.203914 565.487096 1331.549513 0.000000
0.213166 71.686767 3602.410923 0.273291
0.433807 102.007728 3754.199842 0.787586
0.101559 981.984094 2319.672671 0.000000
0.969485 283.956242 2497.046538 0.605772
0.988833 399.723355 1703.079477 0.502463
0.470302 876.831397 2928.739907 0.174371
0.427495 715.321791 1014.466291 0.198565
0.923084 542.119243 1101.769487 0.238598
0.969140 588.241727 552.522753 0.213914
0.347890 815.454604 1899.252777 0.131700
0.370219 47.678090 3776.877016 0.720254
0.328640 256.573648 534.633975 0.426015
0.059972 597.299739 1177.507117 0.000000
0.199202 485.989354 1802.859434 0.014439
0.448772 143.416832 390.858865 0.192465
0.500581 99.173597 1220.662095 0.452880
0.552050 273.002012 3670.982399 0.761903
0.466819 336.800373 1173.157800 0.405468
0.047855 108.744106 4586.107507 0.000000
0.255511 88.013601 1851.944153 0.267547
0.614553 572.689182 1039.163614 0.218072
0.964673 757.389804 2025.456999 0.509600
0.472127 924.969420 3472.598124 0.158535
0.617347 92.466037 4769.131424 0.996378
0.365590 672.225481 3364.549584 0.242184
0.356798 134.341467 3904.541780 0.720206
0.630410 235.207693 1314.477845 0.495166
0.058102 176.028975 4852.094264 0.000000
0.412724 719.348179 878.539059 0.192287
0.376507 351.662788 1449.003671 0.486848
0.292984 419.981205 3863.233948 0.458992
0.838791 165.533928 326.410657 0.054628
0.620265 386.625601 1842.314895 0.537242
0.188329 643.685090 4584.005895 0.169003
0.048711 451.426241 1859.015118 0.000000
0.198435 852.325948 3365.340582 0.038008
0.538248 449.195296 3023.442092 0.497741
0.157327 273.100969 4947.375850 0.242890
0.659220 977.148158 4082.405328 0.264830
0.625953 147.850192 2283.987444 0.626702
0.683674 642.570386 839.661390 0.217796
0.775163 601.016762 402.748474 0.103395
0.208024 640.122083 3270.616677 0.027410
0.323548 132.462479 576.590033 0.409553
0.118235 451.486597 3102.190459 0.015396
0.536981 289.296085 2757.647683 0.643747
0.377538 300.092214 426.234479 0.269444
0.818398 832.768723 3092.318232 0.466297
0.650412 981.685251 2249.077609 0.024655
0.000371 727.449809 4430.736263 0.000000
0.046817 873.149233 1516.368246 0.000000
0.117632 749.504173 3315.827391 0.008230
0.963767 805.972659 580.074721 0.208215
0.199107 127.040151 4210.554277 0.337916
0.162818 167.411201 4741.774032 0.250655
0.699460 941.151823 1920.958008 0.081503
0.456055 454.447581 4749.332656 0.655180
0.196703 516.829045 2992.242237 0.000000
0.898532 223.670810 3720.330193 0.774926
0.646008 664.652788 455.903467 0.169094
0.469363 385.262248 1971.213658 0.491689
0.174947 70.113918 1416.449800 0.150496
0.545022 840.089017 4106.828813 0.472429
0.362791 384.721160 2078.008546 0.468293
0.917934 150.255952 1483.547782 0.522422
0.480422 200.705135 492.544945 0.419394
0.278691 797.135413 4858.731447 0.248426
0.991089 307.430952 614.892999 0.396939
0.020415 272.617952 3142.337791 0.000000
0.156346 322.289523 3522.314645 0.160718
0.578178 808.722372 941.350437 0.131641
0.213317 980.718872 3083.776853 0.000608
0.431650 632.416986 3546.303188 0.351964
0.177158 300.631698 4947.891397 0.326570
0.268914 540.992477 4904.278496 0.286125
0.549111 845.399984 4110.461088 0.473584
0.865206 622.930191 4045.569696 0.687210
0.443339 707.641000 355.784514 0.057404
0.794995 633.980366 3079.059795 0.545251
0.573458 117.439407 1146.454681 0.448891
0.575737 220.401268 1372.153410 0.478814
0.905486 450.450681 1950.719984 0.548666
0.082490 746.585075 1012.717801 0.000000
0.143409 633.862719 2463.189012 0.000000
0.082140 773.353180 3406.588460 0.000000
0.844217 983.241382 3054.983214 0.422428
0.292859 831.254792 2639.320699 0.118104
0.566074 690.510573 1088.286253 0.230548
0.954761 1.425289 3504.654922 0.739690
0.854969 533.767098 3534.993701 0.608658
0.517365 176.846293 2501.739502 0.613325
0.742871 940.976088 319.547793 0.016504
0.528859 141.690679 4256.108703 0.881545
0.068558 641.452986 4780.288764 0.000000
0.151981 406.975044 797.088056 0.095949
0.803365 473.543353 882.839739 0.230777
0.865934 865.018370 2269.738232 0.461704
0.227148 754.411075 1616.040845 0.000000
0.505699 187.619863 1050.449988 0.450790
0.819335 376.168854 2343.543924 0.598116
0.324599 220.677805 4569.777659 0.781843
0.593450 563.542356 1980.140238 0.422543
0.572717 889.892888 2393.092862 0.149981
0.345276 9.763878 1632.782665 0.578106
0.246540 687.371744 2195.632622 0.000000
0.322679 684.660019 955.955634 0.213954
0.851834 678.121458 1637.493617 0.407290
0.031280 803.010522 4280.008281 0.000000
0.273944 890.986136 2793.700344 0.074066
0.137990 312.696225 988.013583 0.078861
0.341725 824.236630 2330.588752 0.126924
0.192165 456.564933 4327.539879 0.191687
0.524221 134.947497 1222.089002 0.474978
0.635875 764.931052 1532.361371 0.291960
0.590936 194.445060 2625.965492 0.652561
0.158957 858.055062 3029.455141 0.002897
0.960974 215.416005 3604.674885 0.782453
0.326928 745.245704 2765.519218 0.176153
0.821299 151.020714 1197.647663 0.450027
0.044002 939.233581 2137.853228 0.000000
0.274788 715.698957 4510.802031 0.269896
0.922528 114.055214 4497.396927 0.904700
0.551761 79.334529 2508.268129 0.617822
0.242150 389.563349 4793.398619 0.299853
0.990147 480.784540 2415.968553 0.552734
0.089083 309.717521 1748.342219 0.000000
0.894786 544.814091 3484.838662 0.576693
0.352225 519.981055 2060.483293 0.215319
0.006907 319.055498 4663.673683 0.000000
0.934541 148.739556 1742.161718 0.555598
0.953737 602.891428 3042.982797 0.551084
0.374198 919.029308 3011.241252 0.058032
0.425196 221.953243 957.033751 0.424203
0.979013 21.694970 1865.889931 0.625491
0.259797 999.377433 4899.570728 0.000675
0.679770 248.301295 1755.205101 0.583894
0.725784 467.132436 2375.257076 0.467116
0.926687 345.937015 1119.298002 0.411299
0.185961 860.330208 3560.239473 0.051044
0.210034 791.019914 4261.232606 0.130541
0.871440 860.247092 679.455946 0.209392
0.801063 256.662984 4885.832324 1.055771
0.082777 239.084114 3784.480496 0.000000
0.600249 992.993931 455.241345 0.005016
0.084382 999.559680 1654.031830 0.000000
0.680026 346.287230 1728.909904 0.533168
0.637506 365.274902 4933.910909 0.924902
0.826843 325.154921 1840.391256 0.603172
0.333926 831.036477 575.422910 0.122589
0.411220 532.799557 3666.344506 0.288515
0.302671 893.071602 1616.935142 0.075516
0.238415 813.270811 525.275100 0.000000
0.825095 502.272159 4200.077675 0.716359
0.681080 535.613467 1836.669114 0.378446
0.809501 204.458042 2660.669383 0.644440
0.340445 659.091695 2818.335853 0.206353
0.140237 491.108317 4611.292470 0.094875
0.843486 740.905219 1994.116097 0.508625
0.000300 601.887348 4401.623117 0.000000
0.963738 261.627071 1009.679188 0.404125
0.992032 951.208198 3686.340117 0.448048
0.626459 313.580051 3422.351334 0.707204
0.029958 493.917289 2407.294907 0.000000
0.845536 865.906648 3887.104092 0.591023
0.164447 299.319623 755.611515 0.141613
0.724198 47.480660 650.399701 0.410109
0.422176 53.970026 1830.788134 0.567896
0.602502 82.096414 1102.104715 0.454073
0.321930 61.216298 3302.552876 0.673965
0.580413 562.785711 1455.704027 0.318941
0.464390 731.048852 2646.296581 0.334983
0.286963 434.650126 1589.703161 0.300854
0.370195 42.604518 2625.656287 0.601230
0.858712 698.906863 4801.585766 0.787405
0.066290 807.372314 930.841397 0.000000
0.128919 100.577431 2096.099542 0.058884
0.141943 683.077800 3248.917678 0.018748
0.391860 305.317953 4317.857757 0.787724
0.399361 325.305749 2969.122504 0.595415
0.102538 109.738572 3393.210714 0.007879
0.169411 894.238970 734.174076 0.000000
0.929833 750.218071 2939.085160 0.498432
0.594633 796.781659 2624.291949 0.288905
0.538726 544.947969 4126.198253 0.626322
0.786583 152.594299 3675.349936 0.751525
0.093402 416.772636 3530.394287 0.000000
0.372822 610.483683 1046.294104 0.200313
0.930212 272.533828 2030.113882 0.632725
0.999366 570.056214 3399.100185 0.573814
0.944793 358.566574 3260.719025 0.639565
0.936157 363.093763 602.164942 0.351620
0.329599 629.451835 3759.620571 0.302728
0.973153 30.603428 3240.368470 0.694154
0.888626 638.160506 2513.122964 0.544764
0.159005 912.702214 2289.284655 0.000000
0.095383 776.511627 2548.431017 0.000000
0.405967 864.181284 2509.924005 0.104183
0.257448 159.513831 3218.491668 0.301067
0.619390 118.946389 1191.132965 0.476991
0.794135 266.449552 2247.154032 0.611193
0.086876 7.376020 1776.601955 0.000000
0.785370 327.635653 3839.790559 0.784325
0.951550 600.486984 1957.323675 0.505702
0.551355 577.996064 611.976703 0.202740
0.804142 376.415461 1602.059896 0.469212
0.365165 4.626067 1410.701647 0.524414
0.339661 853.070062 2260.548183 0.107142
0.341686 10.350137 3922.685439 0.752602
0.732113 604.732619 668.032682 0.202466
0.962583 934.384130 3999.199933 0.495996
0.283276 724.876016 1839.207430 0.144342
0.379933 339.652747 2554.434062 0.563226
0.710344 293.795511 426.720842 0.267205
0.094088 752.089028 3420.647518 0.000000
0.585040 669.359340 4552.240987 0.714422
0.398889 775.858485 1913.690430 0.157620
0.421216 365.232607 3527.935288 0.584268
0.345584 568.721156 3968.480279 0.302023
0.326668 360.269455 4058.416220 0.643648
0.499631 586.868209 4327.477051 0.705501
0.439676 776.445752 629.279574 0.162704
0.816480 322.858013 2103.039528 0.626096
0.902669 839.047160 1607.509405 0.391068
0.666457 610.657082 1961.573703 0.420345
0.718490 792.356459 1057.494812 0.154663
0.631657 396.323526 4131.255743 0.794505
0.885058 46.048964 4046.313408 0.847725
0.319456 307.211006 4820.039687 0.798559
0.733869 126.625874 2813.317646 0.623355
0.148372 419.419409 4905.773405 0.176878
0.789383 574.876718 613.025613 0.206403
0.709883 127.412142 2527.639665 0.623299
0.213397 553.418891 2610.243137 0.000000
0.607942 108.516410 1341.205476 0.513394
0.065437 953.344656 1239.589882 0.000000
0.995475 426.904278 756.016938 0.276836
0.113847 368.857014 1122.782035 0.030244
0.539626 519.633906 3120.602661 0.429410
0.344302 248.109196 742.182464 0.409708
0.441828 918.604759 1137.645499 0.069874
0.515953 331.318337 4008.047330 0.809862
0.154340 694.321231 3973.803305 0.100232
0.846183 173.369632 1539.142519 0.548265
0.735773 60.917708 3651.617338 0.738810
0.710548 145.979838 2431.158358 0.612726
0.333552 0.006798 1155.478494 0.467377
0.258358 961.902062 868.742523 0.006086
0.236558 8.563413 3746.145887 0.294566
0.164230 894.088922 365.957817 0.000000
0.945352 678.282922 3613.232597 0.618261
0.160022 798.523809 2075.123539 0.000000
0.356696 445.994331 4351.743206 0.461326
0.355392 407.918097 4614.174431 0.580868
0.166925 83.011292 3236.369428 0.159980
0.638992 816.866969 621.621576 0.133679
0.243232 561.036313 3882.728771 0.091103
0.831081 231.274806 3747.687502 0.808011
0.667477 719.645725 3975.928886 0.626600
0.657021 942.811671 4654.974104 0.447705
0.278814 120.292375 4675.969322 0.617997
0.333506 689.049475 910.626494 0.211789
0.353922 214.276959 1486.544182 0.499515
0.467562 448.968839 1243.829852 0.285122
0.975594 514.443328 1622.772902 0.423807
0.581476 164.249881 3482.439204 0.738279
0.502925 600.141436 3389.021269 0.504164
0.561928 574.185717 4665.325154 0.787748
0.907928 545.906315 4468.269810 0.758240
0.132872 992.528642 3956.181376 0.002458
0.549602 36.549165 3878.869631 0.779744
0.639018 585.246779 2865.391661 0.421128
0.671207 559.605377 4635.750128 0.791145
0.708069 436.136401 1074.976625 0.288578
0.926461 715.045581 2581.868167 0.534878
0.770140 927.053428 607.651167 0.147212
0.338649 837.829641 4362.974391 0.232200
0.486665 870.244681 762.691182 0.091678
0.943101 345.391287 2807.045193 0.585969
0.277844 331.191632 3399.260042 0.455463
0.420630 713.579057 4313.112192 0.391572
0.155221 854.747320 4017.166407 0.101534
0.000698 156.176068 602.034031 0.000000
0.327551 854.004427 2477.477816 0.100381
0.639026 495.666387 2510.787253 0.435035
0.443127 496.499794 2512.348964 0.296581
0.353670 312.215939 2280.641796 0.581798
0.679092 400.975779 2248.852251 0.499615
0.162718 549.242943 2246.005015 0.000000
0.919301 392.539387 4770.724629 0.914250
0.922107 532.568203 2951.871716 0.527892
0.551167 217.549964 813.068539 0.411015
0.119728 179.095399 3861.677736 0.089927
0.446337 244.329362 2923.729319 0.640713
0.221342 542.169302 545.845552 0.000000
0.409057 799.759300 4640.217118 0.299398
0.911239 920.408384 1957.806170 0.452530
0.129167 686.825730 1744.822075 0.000000
0.138163 738.902770 3848.468804 0.064765
0.727409 984.587315 2569.915274 0.121170
0.994914 699.206449 3422.222595 0.617718
0.028185 731.775876 1848.179702 0.000000
0.480975 419.586864 1782.802833 0.458206
0.628109 116.888201 4948.216116 1.023197
0.411718 454.824323 903.144448 0.266719
0.376950 181.557989 2484.145409 0.626150
0.687366 825.793002 741.232605 0.120682
0.023012 154.758558 847.826043 0.000000
0.333478 714.687277 1545.449423 0.192634
0.382817 970.520901 3767.654468 0.042589
0.181822 434.504848 826.043602 0.071113
0.055385 630.371789 4583.162798 0.000000
0.080706 899.514881 3350.348048 0.000000
0.838979 366.221657 1655.263323 0.525867
0.033267 771.269496 3998.393949 0.000000
0.330605 413.551064 2337.973954 0.379115
0.879706 304.287290 335.640059 0.078864
0.691419 447.632546 4206.381598 0.709805
0.847057 355.022516 4170.270416 0.790501
0.420277 317.811039 594.459169 0.388139
0.964442 677.045494 2065.477435 0.515226
0.464611 644.799841 2400.065196 0.360848
0.362315 580.226941 4263.560504 0.338587
0.197594 958.435236 1042.510007 0.000000
0.172443 161.620151 4530.557821 0.297709
0.992815 198.560526 1788.817292 0.588945
0.527892 52.294832 2137.892936 0.626799
0.861383 222.718352 2212.447334 0.651419
0.041299 324.226740 1803.648524 0.000000
0.922899 682.552384 925.048322 0.214703
0.821876 144.789167 2824.770540 0.608344
0.374422 964.062555 4599.636109 0.053505
0.413908 998.226786 388.383773 0.000965
0.099101 318.548036 4501.190505 0.000000
0.870327 965.398332 1382.364997 0.298308
0.140908 942.156392 776.386718 0.000000
0.587588 49.684729 3141.691096 0.688358
0.071153 505.075908 1820.024817 0.000000
0.154333 575.827341 4384.630757 0.116844
0.431238 539.315628 1818.231122 0.282926
0.801494 938.769250 536.490358 0.200117
0.812528 925.277522 4240.241105 0.538494
0.510725 482.812689 1347.862455 0.285568
0.342686 388.822737 3908.077287 0.519207
0.901418 22.352621 4538.993053 0.909046
0.056948 563.925992 696.794189 0.000000
0.690694 538.157818 2405.672522 0.413543
0.126654 265.900291 2828.840241 0.056910
0.004912 582.963123 4233.533467 0.000000
0.143693 572.938608 3883.129314 0.082930
0.847510 589.391352 4543.243799 0.785775
0.954700 972.944774 2567.764603 0.415055
0.199396 318.919790 2497.708349 0.198689
0.628511 844.713860 1223.803418 0.148060
0.797949 931.451598 2803.325560 0.427854
0.888091 908.853447 1540.582928 0.347020
0.650194 931.000806 3416.991674 0.136860
0.771370 369.825105 1899.630364 0.533566
0.962937 545.905564 4309.661652 0.762540
0.549375 149.607570 3691.252836 0.787381
0.964625 614.454976 1308.833307 0.319759
0.639986 279.682192 3166.477122 0.654901
0.737666 33.169928 2378.873460 0.608794
0.111163 204.728768 3351.618034 0.032429
0.626255 579.207816 3863.355902 0.616892
0.199538 434.576925 482.966803 0.066821
0.803444 655.752606 3651.042398 0.623775
0.241430 371.621931 4297.550057 0.292010
0.720075 747.833144 2132.618594 0.393002
0.551256 510.009617 423.974272 0.130655
0.592193 884.670815 522.196465 0.081511
0.589549 957.923007 1576.934539 0.076079
0.550257 625.294853 2002.941971 0.425770
0.081489 397.553308 3380.587630 0.000000
0.448139 574.871389 2185.040624 0.323951
0.165541 10.375220 2723.295694 0.138548
0.968080 727.017169 4943.026333 0.780707
0.986623 548.793634 3429.124654 0.574492
0.565378 177.271440 2121.424933 0.627516
0.001557 213.591805 4877.952386 0.000000
0.544645 491.544563 1390.720110 0.286225
0.446508 215.294644 2626.239284 0.642720
0.870406 765.559458 971.354396 0.204562
0.123632 397.338455 1337.247824 0.050429
0.717674 153.369493 989.109556 0.420658
0.507626 938.186195 516.386156 0.041572
0.197573 850.626471 4643.866580 0.100990
0.627766 185.244430 3708.533236 0.750697
0.991341 418.639059 3821.903791 0.725084
0.660193 810.477850 1250.469508 0.190748
0.111247 223.966146 4241.138885 0.056807
0.542107 314.289273 3319.698456 0.700897
0.467479 359.161691 3879.692174 0.715393
0.337504 467.420219 1270.286224 0.255180
0.356735 47.819651 1364.585558 0.503313
0.215645 715.558134 2281.525984 0.000000
0.906909 194.917461 1623.012982 0.561123
0.145405 559.146376 4941.443329 0.094526
0.152207 901.343669 2172.517290 0.000000
0.751394 455.630716 1328.676177 0.359225
0.590864 866.912729 955.965615 0.097233
0.446015 473.671745 999.149875 0.230104
0.063287 390.208590 2679.134949 0.000000
0.637244 731.656401 4943.456062 0.792551
0.833972 563.362121 3248.107475 0.549347
0.158561 405.297415 4382.594861 0.234329
0.738905 26.820462 438.370580 0.289936
0.599564 890.187944 4069.411507 0.354781
0.426761 308.164961 800.703957 0.422149
0.101146 316.493352 1691.582337 0.002376
0.880011 968.153725 4145.688628 0.474416
0.891726 231.267993 938.290735 0.406157
0.923039 284.222076 360.041653 0.122969
0.811565 731.920607 2793.202966 0.520328
0.021990 995.899043 2286.730623 0.000000
0.461038 768.155406 4681.423251 0.575778
0.309370 209.797467 3442.900884 0.688923
0.056601 129.107036 4257.806488 0.000000
0.313220 51.764915 3858.747316 0.743754
0.856980 927.100137 1713.270310 0.384443
0.177543 544.496484 3426.146947 0.045488
0.929800 181.131766 4616.418836 1.001296
0.950584 328.494719 405.371634 0.220667
0.486446 652.684505 4363.608534 0.662865
0.984514 174.852889 3366.724526 0.674590
0.957519 592.084509 4678.867010 0.808846
0.493954 265.176961 3052.201681 0.646169
0.367680 810.919980 1847.938568 0.136663
0.759253 380.145031 2594.497181 0.569166
0.666290 890.230335 1951.675121 0.150527
0.046082 148.337080 1810.118783 0.000000
0.192302 302.181621 1570.860449 0.200336
0.679063 657.804065 3232.003571 0.455797
0.896587 805.257926 2305.793102 0.470191
0.844236 85.367966 1981.724087 0.620105
0.010125 223.066143 2031.444260 0.000000
0.818650 754.008950 588.204864 0.207069
0.325351 670.105213 1194.872368 0.211894
0.897628 911.128152 3155.744076 0.449739
0.603668 152.378457 4732.980777 1.022806
0.581160 668.130969 2898.721544 0.410476
0.571048 4.172693 3225.160699 0.664535
0.222459 749.005339 1038.638093 0.000000
0.987124 783.411365 3447.749319 0.536087
0.266436 148.975801 4515.909420 0.518149
0.327712 726.147237 2033.179086 0.198838
0.480755 341.890622 4051.365032 0.788407
0.837802 251.978974 2135.824545 0.635181
0.543258 572.153710 4182.993860 0.638723
0.596839 910.280768 3594.404474 0.196450
0.481315 269.421770 3386.969755 0.740385
0.435812 400.301477 4683.403335 0.672659
0.761581 206.318721 3832.093405 0.791617
0.954385 309.655716 352.902603 0.108036
0.920185 75.085746 782.476018 0.431153
0.235111 142.667573 4286.707630 0.346243
0.325079 799.074398 2561.418573 0.144129
0.475032 19.905144 2597.719719 0.648855
0.427732 931.188126 4387.353407 0.177056
0.997934 832.522798 3950.829509 0.595368
0.970551 116.579687 3407.230016 0.694999
0.480430 881.583950 1868.197277 0.165843
0.058896 709.160110 4846.844247 0.000000
0.654817 165.501286 3307.187184 0.711187
0.918189 591.382471 4186.801664 0.700913
0.322334 14.310896 3960.076366 0.702065
0.987498 578.953842 3037.583462 0.512132
0.914337 761.819788 1640.633359 0.398394
0.321202 685.228666 2877.064541 0.213234
0.499636 610.690770 388.773158 0.089121
0.713944 221.592459 969.928588 0.415786
0.989367 757.268048 2421.198503 0.511408
0.090532 664.073060 459.828057 0.000000
0.710483 7.402019 2981.171464 0.602336
0.597526 536.860300 1803.094269 0.386326
0.907852 620.215020 1623.838556 0.413251
0.233542 104.518917 520.902996 0.202888
0.605272 730.457907 1219.069602 0.244059
0.426618 553.667538 4959.682279 0.513654
0.732213 948.965302 1697.170792 0.160782
0.945353 839.684384 2813.554876 0.480713
0.205099 929.531107 3664.100900 0.027543
0.194777 878.173586 1880.858182 0.000000
0.304858 555.729735 3491.423314 0.252234
0.153846 697.116759 3441.998692 0.046673
0.974959 615.365087 1538.094801 0.385793
0.274332 357.740112 3258.119427 0.361083
0.792476 929.694572 2215.140767 0.399269
0.670007 364.501634 3705.883442 0.720059
0.638487 326.912101 1087.478117 0.427850
0.685984 459.577664 471.879801 0.225129
0.493098 442.506503 2299.202710 0.451365
0.337629 128.782479 1558.463075 0.536036
0.730889 883.040771 1972.986416 0.220833
0.158205 121.238335 1041.245729 0.125512
0.275470 802.908834 3230.488877 0.128122
0.666194 635.151547 586.399063 0.207320
0.361763 385.025778 3195.128966 0.480800
0.773627 720.256405 569.714024 0.204988
0.643443 633.324846 1603.822113 0.346672
0.078090 398.870557 1585.619160 0.000000
0.823414 620.553922 1821.850736 0.490475
0.317762 999.764411 2638.519559 0.000163
0.010374 68.911791 3326.818032 0.000000
0.799787 10.250121 2871.622358 0.659095
0.360428 273.769772 3457.121249 0.672674
0.910190 320.909713 607.758271 0.380031
0.479282 277.372145 1244.029714 0.491844
0.050008 557.975293 2639.397792 0.000000
0.077997 697.172203 3967.151455 0.000000
0.483856 875.228166 3898.991793 0.337789
0.270514 564.444130 3587.115805 0.131106
0.819583 936.791681 4135.368193 0.511098
0.117439 822.124813 4809.961523 0.036881
0.543536 931.842034 4803.572638 0.477969
0.311424 341.952602 3770.108955 0.630312
0.635374 750.216320 4023.850453 0.583869
0.671655 246.852092 1139.729868 0.459989
0.447921 102.259077 1209.812816 0.449443
0.428374 477.619599 4572.429613 0.504508
0.164821 465.342846 2803.607748 0.037308
0.041172 62.843847 2736.516441 0.000000
0.650800 923.644592 2667.230577 0.108446
0.117715 61.111949 3379.972369 0.053558
0.331361 1.562405 2575.941360 0.637161
0.118811 822.346992 2720.601002 0.000000
0.113456 645.796692 719.655683 0.000000
0.738036 678.412379 2403.868693 0.444404
0.116046 735.766260 3432.403148 0.010551
0.490007 573.706326 2831.507127 0.382303
0.785077 420.147321 4979.985453 0.919116
0.436228 891.526197 1217.135769 0.091245
0.210643 75.494556 3311.174792 0.238476
0.240473 510.893585 3600.265869 0.064254
0.285345 909.898287 1118.754243 0.065378
0.858015 88.537683 1135.807130 0.455250
0.472296 131.725911 1493.834705 0.518366
0.261906 610.338582 1647.194880 0.047723
0.125717 260.384607 2011.994359 0.051766
0.500814 13.861599 381.522308 0.167306
0.639256 51.284092 1254.068234 0.456426
0.391192 406.120862 702.043164 0.309390
0.866381 675.466582 2082.440691 0.540324
0.638115 226.031959 2707.089102 0.654532
0.790372 427.423165 2306.486777 0.570380
0.265930 665.474690 4203.349869 0.197688
0.239180 732.122500 510.064703 0.000000
0.767285 169.505762 3002.569758 0.621145
0.228773 620.678248 687.015127 0.000000
0.361318 67.652242 4492.681540 0.794446
0.683461 292.553610 1601.571305 0.564621
0.921774 4.323338 2314.908088 0.600645
0.637347 349.951238 3981.013755 0.806543
0.877713 541.513119 4885.413131 0.809993
0.896114 701.945937 1494.054455 0.368541
0.202713 146.753423 3625.591255 0.271873
0.218358 272.231082 841.088582 0.219938
0.706072 719.381783 3780.481378 0.536794
0.769813 823.781548 4729.731585 0.619033
0.417534 877.382391 4174.380527 0.218171
0.313156 136.760570 4845.046757 0.824793
0.936791 211.162036 4778.000762 1.046181
0.101143 887.436833 4953.144072 0.001499
0.456818 634.355607 3697.523287 0.431564
0.642601 315.667142 361.472222 0.124947
0.131869 391.857963 1491.532226 0.063968
0.652924 245.238277 585.169261 0.403139
0.939265 145.486343 4727.727696 1.016243
0.982645 828.166507 4592.673594 0.649976
0.734422 979.809284 4197.230549 0.266305
0.379088 446.134672 541.654771 0.256714
0.756757 795.947789 611.892045 0.148876
0.179400 713.132429 1521.182957 0.000000
0.730174 823.312647 757.018078 0.127091
0.437323 260.387261 3544.583504 0.765232
